PathID,PathName,SWCType,PrimaryPath,PathLength,PathLengthUnits,StartsOnPath,EndsOnPath,ConnectedPathIDs,ChildPathIDs,StartX,StartY,StartZ,EndX,EndY,EndZ,ApproximateFittedVolume
0,Fitted Path [0],soma,true,39.60652472507542,microns,,,"2,14","2,14",251.12973649404347,122.72297830082562,26.224914633365344,262.43126938862196,136.7690508552135,32.345969926507806,1600.086721143794
1,somaD,custom,true,11.871531917132847,microns,,,,,252.63547897338867,132.9660415649414,27.0,262.0035409927368,127.52652168273926,27.0,
2,Fitted Path [2],(basal) dendrite,false,106.71396391381349,microns,0,,"0,3,4,6,21,36,70","3,4,6,21,36,70",257.10319984227186,127.46130931645399,28.837863920720054,297.2752239800207,152.90074111752182,14.528643280132258,840.0436274202259
3,Fitted Path [3],undefined,false,44.62255061983441,microns,2,,2,,283.7616205215454,126.61993503570557,18.0,271.43095332534216,152.36726801059868,14.0,61.48789015983573
4,Fitted Path [4],undefined,false,42.877865611410854,microns,2,,"2,5",5,282.25581640304716,122.10769630676872,24.382489441516764,265.26906194993387,147.412797835554,17.625688764387224,59.03584078400221
5,Fitted Path [5],undefined,false,9.131926440204527,microns,4,,4,,269.25623416900635,144.14727687835693,18.0,272.5217291895177,146.92569283807015,17.748092375523964,19.267447404042294
6,Fitted Path [6],(basal) dendrite,false,85.12497347742614,microns,2,,"2,9,10,11,12,13","9,10,11,12,13",263.41248069407214,120.856061816556,28.983148616180532,247.47540555090453,84.68461533807402,39.605821146149104,191.633519273226
9,Fitted Path [9],undefined,false,67.0218963140385,microns,6,,"6,17",17,263.21232318878174,102.3190177185069,26.924025820815007,246.0497696961814,65.32606293127787,38.90262835821928,104.55493151633914
10,Fitted Path [10],undefined,false,25.825325261405492,microns,6,,6,,255.721049605417,102.1739031367539,31.608487994017622,258.36434368259785,86.88764570173085,35.0,55.97596640192237
11,Fitted Path [11],undefined,false,12.132307189889003,microns,6,,6,,254.14645671844482,101.83990001678467,32.0,253.25030441305296,94.54494817761594,25.402366835642752,14.481438604430108
12,Fitted Path [12],undefined,false,22.13929839380538,microns,6,,"6,15",15,256.3225718326009,102.44429111480713,31.054839701290415,261.0969543457031,108.64283106217344,45.77528074706157,22.587808481873555
13,Fitted Path [13],undefined,false,33.69079899178392,microns,,6,6,,234.93913607068595,102.08199340143305,24.26157166405499,252.67157062725084,101.28363112391177,34.22271210646659,49.42551818351342
14,Fitted Path [14],axon,false,151.6134100932563,microns,,0,0,,177.1820505098173,91.1068863934921,35.377741415869615,255.82221836405705,125.36802060309972,28.808864978672183,1065.6939535212227
15,Fitted Path [15],undefined,false,43.157492040787886,microns,12,,"12,16",16,255.47326444011355,102.51569939730855,36.08313567590042,253.33563186145668,99.10769922847574,56.95095246694611,91.71921947496965
16,Fitted Path [16],undefined,false,17.776766480037377,microns,15,,15,,250.32922264982653,105.85770516909685,37.37146966118347,251.12450122833252,114.22991752624512,33.0,24.31241142176375
17,Fitted Path [17],undefined,false,43.75978329161428,microns,9,,"9,18",18,266.23427867889404,102.36845404447722,29.960754259892507,291.3294651486536,100.66234257542375,23.821270916181277,65.59926551709982
18,Fitted Path [18],undefined,false,26.445513465459648,microns,,17,"17,19",19,279.02753897924475,98.55775803755972,13.442060781518322,271.68487083822026,102.92554618685874,29.907004853725645,33.89461756173933
19,Fitted Path [19],undefined,false,39.23248073258853,microns,,18,"18,20",20,260.67630626375495,117.55406856536865,12.84827401221148,271.13711289035706,101.87156701328881,19.933592684628604,55.42857482307154
20,Fitted Path [20],undefined,false,11.7260480259799,microns,,19,19,,269.72794966155266,113.32333087921143,17.53061988408099,267.14086532592773,106.0706377029419,14.0,13.173012706115419
21,Fitted Path [21],(basal) dendrite,false,51.3020896976155,microns,,2,"2,22,23,24,28,29,30,34","22,23,24,28,29,30,34",297.5767831114874,93.38959903329203,33.80178085119396,279.8179478213437,120.24356738035824,29.10349668413997,191.28859556986936
22,Fitted Path [22],undefined,false,14.877342792876098,microns,21,,21,,294.86368760301906,113.46365423339523,32.91194053037617,294.3384647369385,123.29578399658203,29.47981578915184,30.34429308459909
23,Fitted Path [23],undefined,false,37.80285014150198,microns,21,,"21,33",33,295.249142582955,113.33969567514283,32.575969569184025,290.4099225997925,118.15845966339111,30.0,41.33972972509724
24,Fitted Path [24],undefined,false,38.63397988130074,microns,,21,"21,25,26","25,26",301.591157913208,98.81794452667236,40.0,285.8668303115566,116.06415942624037,30.997802121122575,84.32444582077049
25,Fitted Path [25],undefined,false,3.4084081965908264,microns,24,,24,,290.99997362720876,115.05489241774994,37.37180016369146,293.12968254089355,117.55406856536865,37.0,2.6978405251886244
26,Fitted Path [26],undefined,false,12.725875628170467,microns,24,,24,,288.29455375671387,115.74089527130127,37.0,288.19393838108795,118.2121031246117,46.034962250418,5.069124571888219
28,Fitted Path [28],undefined,false,35.99170704524861,microns,21,,21,,283.66445715106096,118.38874267370745,28.60815561170975,279.5308828353882,98.51574897766113,23.0,142.48786232355152
29,Fitted Path [29],undefined,false,8.87060109045361,microns,21,,21,,287.6901626586914,115.43869972229004,32.0,283.4594249725342,113.0211353302002,30.0,15.718554544116717
30,Fitted Path [30],undefined,false,46.35216448967513,microns,21,,"21,31,32","31,32",288.3672948683639,115.43869972229004,32.209988814460324,286.0830051953785,85.34595983154247,23.45235459113573,90.66439308873073
31,Fitted Path [31],undefined,false,5.536625907236836,microns,30,,30,,284.6682071685791,91.56525135040283,25.0,282.8550338745117,87.93890476226807,23.0,2.7106508479543767
