PathID,PathName,SWCType,PrimaryPath,PathLength,PathLengthUnits,StartsOnPath,EndsOnPath,ConnectedPathIDs,ChildPathIDs,StartX,StartY,StartZ,EndX,EndY,EndZ,ApproximateFittedVolume
11,Fitted Path [11],soma,true,36.15746436010547,microns,,,"13,15","13,15",247.70826919692843,122.17908279281765,41.17756546528588,266.2772314317415,133.82967545912766,45.04391098022461,2017.4285183799288
12,somaD,custom,true,14.811266665203348,microns,,,,,250.52011013031006,132.36165046691895,39.0,261.7013454437256,124.20237064361572,39.0,
13,Fitted Path [13],axon,false,151.6837962265213,microns,11,,11,,254.13710589428177,127.82871723175049,38.88502681034297,176.17792845904947,91.56248253107229,35.954431518615834,975.6577352177028
15,Fitted Path [15],(basal) dendrite,false,66.8029053727952,microns,11,,"11,16,17","16,17",259.3267338044832,133.6133854158113,45.04391098022461,289.20114040374756,114.80398859727138,32.38008410847495,3773.5647358832325
16,Fitted Path [16],undefined,false,44.62142403839974,microns,15,,15,,288.57222089161996,115.25605881616488,31.334572201026475,286.1120480115147,86.44194354307572,25.803841896373726,75.83077406772311
17,Fitted Path [17],undefined,false,22.120689417456425,microns,15,,15,,288.5263453772795,115.04105761238272,31.81568021397426,301.65592277504953,115.12031295781843,34.500602119481464,55.43638411553511
