PathID,PathName,SWCType,PrimaryPath,PathLength,PathLengthUnits,StartsOnPath,EndsOnPath,ConnectedPathIDs,ChildPathIDs,StartX,StartY,StartZ,EndX,EndY,EndZ,ApproximateFittedVolume
0,Fitted Path [0],soma,true,58.330845014966215,microns,,,4,4,80.33537864685059,104.82006282935511,28.973323957779485,108.03723335266113,100.78364131942445,26.625000122128252,1516.9536648939666
4,Fitted Path [4],(basal) dendrite,false,41.91301434832613,microns,0,,"0,5,6","5,6",106.07846018580261,100.74462932934159,26.213106766752745,135.04654169082642,102.66955227113246,28.21627116683898,207.18130170268182
5,Fitted Path [5],(basal) dendrite,false,22.625894030790963,microns,4,,"4,7",7,134.01294949543822,102.30458604027658,27.67262295816973,132.28790001391047,92.91870262219065,29.049672904220504,104.03126050029023
6,Fitted Path [6],(basal) dendrite,false,11.373287150700122,microns,4,,"4,9,10","9,10",133.96378484308607,103.0382408353692,27.905517862722455,141.0212716642704,106.988028780482,28.64926350840373,148.01492704308566
7,Fitted Path [7],undefined,false,10.702766054051878,microns,5,,"5,20,21","20,21",132.19087340936852,93.05343275639963,30.307617067725165,131.93481202280384,84.43058016222784,27.91617482388935,30.34723397296626
9,Fitted Path [9],undefined,false,16.85057422149341,microns,6,,6,,140.03771792167717,106.50878896003671,29.99673040985842,146.52208111549461,112.32091109286209,32.559055336511406,173.58865288558053
10,Fitted Path [10],undefined,false,16.503590184829232,microns,6,,6,,141.21229337936316,107.33241352553868,30.590374647379992,144.8522243373626,102.19743056232056,38.96792722329793,78.20402769184062
19,somaD,custom,true,17.745359743496717,microns,,,,,90.49272537231445,92.80121326446533,28.0,94.87885236740112,108.7297797203064,28.0,
20,Fitted Path [20],undefined,false,31.792005275938045,microns,7,,7,,131.97946422090095,84.49736658714087,28.13397644901958,115.31338079022763,82.67187851759913,22.89102384740274,82.09829876989996
21,Fitted Path [21],undefined,false,14.62844201700867,microns,7,,7,,131.98906960254672,84.49065685272217,27.860507990973513,131.95218957729531,78.92695644812632,32.17725711093267,28.506253870658806
